VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,SbUnitID,TIMEFRAME,LAT,LON
3,,ROCKBURY,W,83709,12324,12324 W ROCKBURY,,Boise,43.60134436,-116.3358626
4,,TRAFALGER,W,83709,12498,12498 W TRAFALGER,,Boise,43.60130943,-116.3380921
3,,ROCKBURY,W,83709,12340,12340 W ROCKBURY,,Boise,43.60130308,-116.3361887
3,,ROCKBURY,W,83709,12366,12366 W ROCKBURY,,Boise,43.60125186,-116.3365156
4,,TRAFALGER,W,83709,12499,12499 W TRAFALGER,,Boise,43.60114156,-116.3381319
2,,OLDHAM,W,83709,12276,12276 W OLDHAM,,Boise,43.60062432,-116.3353583
2,,OLDHAM,W,83709,12298,12298 W OLDHAM,,Boise,43.60060805,-116.3356233
2,,OLDHAM,W,83709,12254,12254 W OLDHAM,,Boise,43.60057895,-116.3351125
2,,OLDHAM,W,83709,12218,12218 W OLDHAM,,Boise,43.60008969,-116.3350335
5,,CLOVERDALE,S,83709,1255,1255 S CLOVERDALE,,Boise,43.59366186,-116.334703
6,,PIKESVILLE,S,83709,1060,1060 S PIKESVILLE,,Boise,43.59535802,-116.3362235
4,,CAMAS,W,83709,12412,12412 W CAMAS,,Boise,43.59527241,-116.3369057
4,,CAMAS,W,83709,12426,12426 W CAMAS,,Boise,43.59525689,-116.3372245
3,,CAMAS,W,83709,12384,12384 W CAMAS,,Boise,43.59528787,-116.3366421
4,,CAMAS,W,83709,12450,12450 W CAMAS,,Boise,43.595163,-116.3374463
0,,SCRANTON,S,83709,1108,1108 S SCRANTON,,Boise,43.59486062,-116.3349958
2,,CAMAS,W,83709,12295,12295 W CAMAS,,Boise,43.59498745,-116.3354433
3,,CAMAS,W,83709,12311,12311 W CAMAS,,Boise,43.59499578,-116.3357426
4,,CAMAS,W,83709,12407,12407 W CAMAS,,Boise,43.59501839,-116.3369542
3,,CAMAS,W,83709,12337,12337 W CAMAS,,Boise,43.59501831,-116.3360682
3,,CAMAS,W,83709,12383,12383 W CAMAS,,Boise,43.59500608,-116.3366484
3,,CAMAS,W,83709,12369,12369 W CAMAS,,Boise,43.59500749,-116.3363738
3,,SCRANTON,S,83709,1137,1137 S SCRANTON,,Boise,43.59463362,-116.3353164
2,,SCRANTON,S,83709,1126,1126 S SCRANTON,,Boise,43.59465675,-116.3350004
3,,LEWISBURG,W,83709,12328,12328 W LEWISBURG,,Boise,43.59447586,-116.3359422
3,,LEWISBURG,W,83709,12394,12394 W LEWISBURG,,Boise,43.59446728,-116.336713
4,,LEWISBURG,W,83709,12410,12410 W LEWISBURG,,Boise,43.59446141,-116.3369554
3,,LEWISBURG,W,83709,12372,12372 W LEWISBURG,,Boise,43.59446393,-116.3364648
5,,SCRANTON,S,83709,1150,1150 S SCRANTON,,Boise,43.59447127,-116.3350307
3,,LEWISBURG,W,83709,12350,12350 W LEWISBURG,,Boise,43.59446057,-116.3362156
